"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2011","1000","lev","2008","Western calendar year","424900000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","442122000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2011","1000","lev","2008","Western calendar year","6468100000","2"
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","5947367000",""
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2011","1000","lev","2008","Western calendar year","56785300000",""
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","52937256000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2010","1000","lev","2008","Western calendar year","10045100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","8917669000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2010","1000","lev","2008","Western calendar year","3616600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","3345194000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2010","1000","lev","2008","Western calendar year","1474900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","1420835000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2010","1000","lev","2008","Western calendar year","9782300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","8043462000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2010","1000","lev","2008","Western calendar year","3267500000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","3547668000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2010","1000","lev","2008","Western calendar year","2084500000",""
